epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.98,1.68803,2.34419,1.50509,0,0,0,0,0,0,0,0.0700655,0.00332606,0.00332606
2,502.574,1.7113,2.29561,1.52596,0,0,0,0,0,0,0,0.0398457,0.00643963,0.00643963
3,807.04,1.6484,2.14566,1.48637,0,0,0,0,0,0,0,0.00940598,0.0093332,0.0093332
4,1169.68,1.59291,2.0635,1.45519,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
5,1509.64,1.53254,1.98197,1.42605,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
6,1842.28,1.49705,1.93084,1.41296,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
7,2170.33,1.4846,1.86726,1.39523,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
8,2491.53,1.44609,1.83713,1.38235,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
9,2789.24,1.44225,1.81871,1.37294,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
10,3149.62,1.43642,1.78451,1.36614,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
11,3518.31,1.39614,1.74101,1.35153,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
12,3883.05,1.3827,1.69869,1.34464,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
13,4236.65,1.38134,1.70038,1.34371,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
14,4586.43,1.37997,1.65369,1.33203,0,0,0,0,0,0,0,0.00571,0.00571,0.00571
15,4924.34,1.3696,1.64365,1.32818,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
16,5266.03,1.35808,1.61993,1.32053,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
17,5576.35,1.337,1.56513,1.31124,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
18,5868.41,1.3304,1.566,1.30899,0,0,0,0,0,0,0,0.00439,0.00439,0.00439
19,6172.6,1.32584,1.53692,1.30305,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
20,6474.28,1.30429,1.53169,1.29176,0,0,0,0,0,0,0,0.00373,0.00373,0.00373
21,7003.56,1.35507,1.59913,1.34446,0,0,0,0,0,0,0,0.0034,0.0034,0.0034
22,7447.14,1.35035,1.5281,1.3352,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
23,7853.79,1.33476,1.5041,1.3317,0,0,0,0,0,0,0,0.00274,0.00274,0.00274
24,8213.18,1.32417,1.4779,1.3231,0,0,0,0,0,0,0,0.00241,0.00241,0.00241
25,8555.47,1.31374,1.45237,1.31405,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
26,8880.89,1.29519,1.42152,1.30337,0,0,0,0,0,0,0,0.00175,0.00175,0.00175
27,9194.33,1.28494,1.40886,1.30037,0,0,0,0,0,0,0,0.00142,0.00142,0.00142
28,9507.14,1.27095,1.37026,1.28968,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
29,9822.92,1.2625,1.36556,1.2878,0,0,0,0,0,0,0,0.00076,0.00076,0.00076
30,10871.2,1.25218,1.33446,1.27529,0.28194,0.08151,0.08415,0.05703,1.26221,1.2831,1.21438,0.00043,0.00043,0.00043
