epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.12,1.31775,1.96761,1.4495,0.36992,0.32369,0.32625,0.20849,1.30792,1.57041,1.43252,0.00332606,0.00332606,0.00332606
2,769.768,1.30643,1.58013,1.43685,0.31268,0.28162,0.24369,0.1357,1.52657,1.89766,1.67335,0.00659346,0.00659346,0.00659346
3,1151.63,1.43805,1.73986,1.53179,0.22573,0.21782,0.14418,0.07416,1.79461,2.3192,1.92632,0.00979487,0.00979487,0.00979487
4,1531.39,1.48784,1.88639,1.602,0.35561,0.2642,0.23351,0.13318,1.62327,2.14659,1.76188,0.009703,0.009703,0.009703
5,1911.44,1.46421,1.80814,1.5816,0.38613,0.32257,0.29286,0.1711,1.5277,1.81183,1.65272,0.009604,0.009604,0.009604
6,2290.85,1.4279,1.75994,1.55995,0.43813,0.30573,0.31417,0.18625,1.50046,1.79685,1.65437,0.009505,0.009505,0.009505
7,2670.24,1.42123,1.6919,1.54087,0.38193,0.31876,0.30205,0.18538,1.41098,1.76948,1.56455,0.009406,0.009406,0.009406
8,3049.3,1.38083,1.63222,1.52739,0.46534,0.3473,0.36373,0.23671,1.3475,1.4965,1.54267,0.009307,0.009307,0.009307
9,3428.83,1.38445,1.60107,1.52321,0.45019,0.32355,0.32516,0.19244,1.46091,1.72065,1.6344,0.009208,0.009208,0.009208
10,3807.8,1.34474,1.55677,1.49948,0.44095,0.32831,0.33749,0.21117,1.3959,1.67196,1.58291,0.009109,0.009109,0.009109
11,4187.11,1.32327,1.52341,1.48345,0.46193,0.37157,0.38894,0.24504,1.35532,1.42556,1.51489,0.00901,0.00901,0.00901
12,4566.8,1.32976,1.48807,1.48199,0.36541,0.26019,0.22812,0.12876,1.63803,2.28115,1.86142,0.008911,0.008911,0.008911
13,4945.53,1.31078,1.44652,1.46405,0.46057,0.41299,0.39755,0.25371,1.34784,1.42556,1.495,0.008812,0.008812,0.008812
14,5324.58,1.29886,1.41287,1.45942,0.46692,0.36755,0.36338,0.22404,1.36165,1.62969,1.51786,0.008713,0.008713,0.008713
15,5703.67,1.29201,1.40065,1.45822,0.47727,0.3595,0.38375,0.25594,1.3008,1.42695,1.47526,0.008614,0.008614,0.008614
16,6083.1,1.27847,1.36994,1.44178,0.52227,0.37848,0.43425,0.28722,1.28978,1.27447,1.44402,0.008515,0.008515,0.008515
17,6462.2,1.27366,1.35199,1.43824,0.5011,0.38545,0.41412,0.2728,1.28276,1.28998,1.43613,0.008416,0.008416,0.008416
18,6841.16,1.26478,1.331,1.42388,0.52154,0.3817,0.41534,0.26989,1.28381,1.34182,1.45093,0.008317,0.008317,0.008317
19,7220.18,1.26447,1.31828,1.41965,0.51379,0.43605,0.47254,0.31596,1.26489,1.21511,1.43386,0.008218,0.008218,0.008218
20,7599.19,1.24044,1.29116,1.40834,0.52811,0.44226,0.46862,0.30947,1.24453,1.19929,1.40109,0.008119,0.008119,0.008119
21,7978.45,1.24945,1.26404,1.40812,0.54609,0.41951,0.46662,0.31019,1.26088,1.20627,1.41279,0.00802,0.00802,0.00802
22,8357.53,1.22285,1.25856,1.39711,0.50798,0.44448,0.45789,0.30955,1.22213,1.22362,1.40059,0.007921,0.007921,0.007921
23,8736.69,1.24384,1.2422,1.40534,0.52394,0.42693,0.4565,0.31188,1.20574,1.19773,1.39165,0.007822,0.007822,0.007822
24,9115.52,1.21842,1.20441,1.39519,0.4967,0.43165,0.44158,0.29841,1.22047,1.30336,1.39708,0.007723,0.007723,0.007723
25,9494.25,1.21919,1.21424,1.39186,0.52347,0.46863,0.50122,0.3306,1.25359,1.15973,1.39914,0.007624,0.007624,0.007624
26,9873.1,1.20774,1.19783,1.38644,0.5451,0.451,0.48897,0.33246,1.19779,1.15105,1.38936,0.007525,0.007525,0.007525
27,10252.4,1.20573,1.18755,1.38341,0.53649,0.45931,0.50038,0.33526,1.21937,1.11879,1.38016,0.007426,0.007426,0.007426
28,10631.3,1.18813,1.16013,1.36803,0.55842,0.44511,0.49972,0.33554,1.20881,1.12196,1.39101,0.007327,0.007327,0.007327
29,11010.6,1.2187,1.16271,1.37494,0.57884,0.44652,0.5076,0.34927,1.17414,1.10525,1.35319,0.007228,0.007228,0.007228
30,11389.4,1.17767,1.1402,1.37207,0.55399,0.44185,0.49841,0.33751,1.21758,1.12915,1.37756,0.007129,0.007129,0.007129
31,11768.4,1.20046,1.15301,1.37845,0.57074,0.47313,0.52178,0.36202,1.15507,1.06131,1.33836,0.00703,0.00703,0.00703
32,12147.4,1.18824,1.12173,1.36562,0.52845,0.4806,0.49872,0.33969,1.20844,1.11004,1.37678,0.006931,0.006931,0.006931
33,12526.5,1.17902,1.11646,1.3606,0.54897,0.47881,0.51227,0.34724,1.20576,1.07696,1.35824,0.006832,0.006832,0.006832
34,12905.2,1.17157,1.10706,1.35703,0.57112,0.47109,0.5163,0.35593,1.17575,1.07562,1.35788,0.006733,0.006733,0.006733
35,13283.7,1.15513,1.0797,1.35289,0.54009,0.45301,0.4946,0.34812,1.14312,1.07588,1.3397,0.006634,0.006634,0.006634
36,13662.4,1.16635,1.0853,1.35325,0.53883,0.48003,0.50286,0.35151,1.15263,1.07676,1.33985,0.006535,0.006535,0.006535
37,14040.9,1.15562,1.07082,1.3476,0.56967,0.47394,0.51556,0.35167,1.17822,1.04953,1.34253,0.006436,0.006436,0.006436
38,14419.4,1.15347,1.07591,1.35049,0.57072,0.46821,0.50905,0.34886,1.16417,1.04219,1.33562,0.006337,0.006337,0.006337
39,14798.2,1.14925,1.04762,1.33943,0.60567,0.45452,0.52662,0.36005,1.16717,1.0197,1.34389,0.006238,0.006238,0.006238
40,15176.8,1.15043,1.04682,1.33649,0.5707,0.47029,0.51994,0.35902,1.15275,1.03274,1.32275,0.006139,0.006139,0.006139
41,15555.2,1.13449,1.02477,1.32723,0.59125,0.47156,0.53374,0.3692,1.17003,1.02115,1.34913,0.00604,0.00604,0.00604
42,15933.5,1.12425,1.01091,1.32307,0.57019,0.49265,0.53419,0.37126,1.15518,1.01799,1.32715,0.005941,0.005941,0.005941
43,16311.9,1.13674,1.00745,1.32755,0.5753,0.47378,0.54016,0.37845,1.14455,0.97822,1.31629,0.005842,0.005842,0.005842
44,16690.4,1.12689,0.99927,1.32268,0.60034,0.45982,0.52638,0.36855,1.13927,1.0046,1.31758,0.005743,0.005743,0.005743
45,17068.5,1.11321,0.9928,1.31821,0.57865,0.4834,0.53089,0.37048,1.14628,0.98868,1.32521,0.005644,0.005644,0.005644
46,17446.8,1.11607,0.9983,1.32084,0.60196,0.47867,0.54424,0.37862,1.14761,0.99411,1.32022,0.005545,0.005545,0.005545
47,17825.4,1.11834,0.98406,1.31627,0.60791,0.47548,0.55015,0.38547,1.13796,0.96862,1.31773,0.005446,0.005446,0.005446
48,18203.8,1.11745,0.97217,1.31245,0.59127,0.48639,0.53973,0.37474,1.13746,0.9778,1.31939,0.005347,0.005347,0.005347
49,18582.5,1.12463,0.96884,1.31188,0.59916,0.47962,0.54552,0.37896,1.14372,0.97359,1.32008,0.005248,0.005248,0.005248
50,18960.8,1.09595,0.95826,1.29846,0.59139,0.50836,0.55908,0.38927,1.13993,0.96155,1.31509,0.005149,0.005149,0.005149
51,19339.1,1.10307,0.94722,1.30176,0.59664,0.48329,0.55136,0.38771,1.1257,0.96627,1.30332,0.00505,0.00505,0.00505
52,19717.2,1.09894,0.94376,1.30033,0.59868,0.48078,0.54767,0.38249,1.14623,0.97981,1.31424,0.004951,0.004951,0.004951
53,20095.3,1.09906,0.94491,1.30229,0.61107,0.47699,0.55248,0.3882,1.14155,0.97739,1.32151,0.004852,0.004852,0.004852
54,20473.3,1.095,0.93441,1.29795,0.57144,0.49046,0.53227,0.37473,1.13035,0.96862,1.31428,0.004753,0.004753,0.004753
55,20851.5,1.08686,0.92175,1.28779,0.59878,0.49319,0.55247,0.3864,1.13273,0.9498,1.31294,0.004654,0.004654,0.004654
56,21229.7,1.08391,0.91126,1.28475,0.60856,0.48259,0.55452,0.38616,1.14494,0.95984,1.32075,0.004555,0.004555,0.004555
57,21608.6,1.07791,0.90514,1.28315,0.58353,0.50081,0.55375,0.38758,1.14065,0.95055,1.31254,0.004456,0.004456,0.004456
58,21986.7,1.06221,0.8973,1.2832,0.59513,0.48304,0.54643,0.38484,1.13429,0.95422,1.3144,0.004357,0.004357,0.004357
59,22364.5,1.08323,0.89689,1.28661,0.6045,0.4912,0.56166,0.39387,1.12842,0.94424,1.30655,0.004258,0.004258,0.004258
60,22742.9,1.06169,0.88419,1.27796,0.62057,0.48827,0.5674,0.39948,1.11934,0.93109,1.30541,0.004159,0.004159,0.004159
61,23121.1,1.04889,0.87482,1.27288,0.60319,0.4892,0.55053,0.38825,1.12487,0.94337,1.30509,0.00406,0.00406,0.00406
62,23499.3,1.06098,0.87416,1.27043,0.58551,0.51243,0.55876,0.39165,1.1144,0.93611,1.298,0.003961,0.003961,0.003961
63,23877.5,1.05372,0.87251,1.26876,0.58776,0.51917,0.56573,0.39621,1.12324,0.9321,1.30263,0.003862,0.003862,0.003862
64,24255.7,1.05728,0.84932,1.26163,0.60233,0.50068,0.55735,0.39216,1.11935,0.92706,1.30098,0.003763,0.003763,0.003763
65,24633.9,1.03894,0.84438,1.2589,0.6209,0.495,0.55765,0.38883,1.12025,0.93728,1.31097,0.003664,0.003664,0.003664
66,25012.1,1.04251,0.84323,1.26335,0.63035,0.48812,0.56389,0.3928,1.12482,0.92773,1.30718,0.003565,0.003565,0.003565
