epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.983,1.39607,2.90717,1.50813,0.21997,0.27988,0.19924,0.11494,1.41247,2.29677,1.49835,0.00332606,0.00332606,0.00332606
2,240.93,1.40927,2.1263,1.51325,0.28101,0.22831,0.19318,0.11175,1.52126,2.32537,1.68057,0.00659346,0.00659346,0.00659346
3,358.273,1.48004,2.08263,1.55242,0.229,0.26547,0.16579,0.08572,1.6333,2.53545,1.73516,0.00979487,0.00979487,0.00979487
4,471.853,1.49547,2.08932,1.59674,0.26969,0.22685,0.15621,0.08632,1.62044,2.45506,1.75277,0.009703,0.009703,0.009703
5,586.829,1.48659,1.98203,1.57765,0.30633,0.25168,0.23411,0.1323,1.5449,2.11867,1.64076,0.009604,0.009604,0.009604
6,700.799,1.45108,1.90855,1.55561,0.39875,0.32116,0.29885,0.16627,1.51724,1.99781,1.62787,0.009505,0.009505,0.009505
7,815.082,1.44566,1.83625,1.53669,0.28956,0.25566,0.23315,0.13215,1.4936,2.03259,1.61522,0.009406,0.009406,0.009406
8,928.463,1.41312,1.78219,1.52328,0.38207,0.29411,0.30088,0.18655,1.39593,1.72036,1.57955,0.009307,0.009307,0.009307
9,1041.62,1.42023,1.73939,1.52111,0.38847,0.31562,0.29565,0.17547,1.43289,1.86775,1.55427,0.009208,0.009208,0.009208
10,1153.63,1.38809,1.70606,1.50453,0.41413,0.3136,0.32485,0.20154,1.39765,1.64157,1.52099,0.009109,0.009109,0.009109
11,1266.3,1.36836,1.66336,1.48678,0.4035,0.35109,0.34691,0.21366,1.398,1.5798,1.52121,0.00901,0.00901,0.00901
12,1377.61,1.36772,1.6361,1.4853,0.43729,0.3491,0.37103,0.23227,1.39982,1.51459,1.52784,0.008911,0.008911,0.008911
13,1489.43,1.35573,1.59895,1.47737,0.41212,0.36167,0.34234,0.21615,1.38072,1.63237,1.49079,0.008812,0.008812,0.008812
14,1601.63,1.34823,1.57316,1.46932,0.42959,0.36112,0.37292,0.23377,1.35619,1.50907,1.49186,0.008713,0.008713,0.008713
15,1713.3,1.34474,1.542,1.46826,0.40218,0.36106,0.34633,0.22125,1.36675,1.56681,1.49541,0.008614,0.008614,0.008614
16,1825.07,1.33232,1.52863,1.45887,0.48634,0.3633,0.4001,0.25482,1.34431,1.39081,1.47925,0.008515,0.008515,0.008515
17,1936.85,1.32802,1.51465,1.45668,0.43381,0.365,0.38654,0.24824,1.33683,1.42458,1.4766,0.008416,0.008416,0.008416
18,2048.51,1.32008,1.48156,1.44224,0.49358,0.35584,0.40105,0.25821,1.3502,1.41326,1.47065,0.008317,0.008317,0.008317
19,2160.65,1.32107,1.46801,1.43567,0.4903,0.37506,0.39682,0.25251,1.32853,1.39887,1.46785,0.008218,0.008218,0.008218
20,2272.34,1.29756,1.44905,1.43331,0.47482,0.39409,0.41771,0.27099,1.29308,1.34108,1.43369,0.008119,0.008119,0.008119
21,2384.17,1.31144,1.42253,1.43124,0.48665,0.37607,0.39642,0.25624,1.31463,1.37113,1.44856,0.00802,0.00802,0.00802
22,2495.98,1.28578,1.41657,1.42099,0.47586,0.39981,0.39676,0.25529,1.29885,1.36951,1.44123,0.007921,0.007921,0.007921
23,2607.75,1.30905,1.39939,1.43066,0.457,0.39348,0.40313,0.26754,1.26576,1.34877,1.41527,0.007822,0.007822,0.007822
24,2719.72,1.2871,1.37545,1.41968,0.49819,0.40567,0.4325,0.28921,1.26307,1.32921,1.40059,0.007723,0.007723,0.007723
25,2831.57,1.28628,1.37786,1.42001,0.50186,0.40953,0.43584,0.27988,1.3081,1.30704,1.43644,0.007624,0.007624,0.007624
26,2943.2,1.27458,1.36334,1.41348,0.48526,0.41361,0.43478,0.2905,1.24605,1.2686,1.42201,0.007525,0.007525,0.007525
27,3054.76,1.27398,1.35471,1.411,0.4963,0.43218,0.46355,0.30435,1.26071,1.21759,1.4029,0.007426,0.007426,0.007426
28,3166.56,1.26123,1.33377,1.39756,0.51306,0.4207,0.45524,0.29943,1.2638,1.26332,1.3995,0.007327,0.007327,0.007327
29,3278.84,1.289,1.32967,1.4058,0.5252,0.39661,0.44089,0.29874,1.23636,1.25197,1.39295,0.007228,0.007228,0.007228
30,3390.52,1.25033,1.31268,1.40089,0.50474,0.41951,0.45134,0.2985,1.26447,1.26649,1.39607,0.007129,0.007129,0.007129
31,3502.51,1.27214,1.32326,1.40916,0.5252,0.40989,0.45839,0.30567,1.22331,1.2308,1.37639,0.00703,0.00703,0.00703
32,3614.08,1.26552,1.30315,1.39781,0.49436,0.42655,0.43996,0.28998,1.26004,1.27003,1.39374,0.006931,0.006931,0.006931
33,3725.77,1.25606,1.291,1.39509,0.53061,0.42428,0.47889,0.31934,1.26162,1.20403,1.3886,0.006832,0.006832,0.006832
34,3839.09,1.25027,1.2821,1.39083,0.52973,0.4302,0.47148,0.31009,1.24976,1.21558,1.37693,0.006733,0.006733,0.006733
