epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.234,1.37632,2.03669,1.48132,0.39962,0.32605,0.33796,0.21988,1.2762,1.51358,1.3925,0.00332606,0.00332606,0.00332606
2,356.362,1.31209,1.58295,1.41476,0.33247,0.24316,0.22815,0.1384,1.5342,2.14438,1.65617,0.00659346,0.00659346,0.00659346
3,534.42,1.41968,1.71824,1.48705,0.26777,0.22771,0.18177,0.09591,1.69383,2.59572,1.79244,0.00979487,0.00979487,0.00979487
4,706.503,1.46866,1.84098,1.5512,0.34693,0.25,0.21443,0.12558,1.64,2.15599,1.79172,0.009703,0.009703,0.009703
5,880.312,1.45517,1.78626,1.54263,0.35748,0.2915,0.28436,0.16674,1.51001,1.87925,1.61078,0.009604,0.009604,0.009604
6,1052.81,1.42276,1.72723,1.52146,0.46783,0.29244,0.31292,0.18507,1.53389,1.86837,1.62499,0.009505,0.009505,0.009505
7,1225.93,1.41783,1.66675,1.50866,0.41095,0.33644,0.3304,0.20819,1.392,1.60444,1.51148,0.009406,0.009406,0.009406
8,1398.76,1.383,1.61731,1.4923,0.41773,0.31618,0.32935,0.20903,1.40144,1.65483,1.55403,0.009307,0.009307,0.009307
9,1571.52,1.39199,1.58366,1.4901,0.44573,0.35136,0.35848,0.22541,1.38184,1.55879,1.52714,0.009208,0.009208,0.009208
10,1744.03,1.35173,1.54453,1.46795,0.44744,0.32555,0.3549,0.22212,1.38905,1.56425,1.50449,0.009109,0.009109,0.009109
11,1916.81,1.33501,1.50742,1.45388,0.49203,0.36068,0.39537,0.25084,1.35065,1.39616,1.46531,0.00901,0.00901,0.00901
12,2089.49,1.33253,1.47839,1.45125,0.38993,0.31112,0.30714,0.19093,1.43136,1.76522,1.54698,0.008911,0.008911,0.008911
13,2261.73,1.32005,1.44204,1.44091,0.4936,0.36786,0.39028,0.24918,1.34712,1.42559,1.4762,0.008812,0.008812,0.008812
14,2434.2,1.31249,1.42049,1.43374,0.50328,0.38743,0.41831,0.26968,1.33916,1.338,1.46861,0.008713,0.008713,0.008713
15,2606.8,1.30582,1.40546,1.43254,0.5004,0.38734,0.41072,0.27023,1.29399,1.36909,1.43546,0.008614,0.008614,0.008614
16,2779.23,1.29121,1.3781,1.41657,0.51583,0.40454,0.45128,0.29516,1.29341,1.27929,1.41801,0.008515,0.008515,0.008515
17,2951.32,1.29044,1.36082,1.42111,0.50038,0.40253,0.4235,0.27235,1.31252,1.3359,1.45099,0.008416,0.008416,0.008416
18,3123.45,1.27973,1.33152,1.40323,0.51758,0.39195,0.42456,0.27861,1.29432,1.27016,1.43008,0.008317,0.008317,0.008317
19,3295.93,1.28248,1.31639,1.39647,0.52313,0.40662,0.45313,0.29817,1.27473,1.25957,1.40408,0.008218,0.008218,0.008218
20,3468.4,1.25736,1.30354,1.39234,0.55567,0.40043,0.46849,0.31209,1.2415,1.19819,1.37646,0.008119,0.008119,0.008119
21,3640.97,1.26756,1.27729,1.39292,0.52467,0.42081,0.46141,0.3033,1.27314,1.22425,1.40296,0.00802,0.00802,0.00802
22,3812.86,1.2408,1.27134,1.37802,0.53205,0.42809,0.46542,0.31104,1.24369,1.1969,1.3812,0.007921,0.007921,0.007921
23,3985.05,1.26375,1.25324,1.38583,0.53778,0.41764,0.4541,0.30588,1.21971,1.19875,1.36221,0.007822,0.007822,0.007822
24,4157.19,1.23942,1.21996,1.37769,0.54884,0.42823,0.47869,0.32396,1.22531,1.18489,1.36858,0.007723,0.007723,0.007723
25,4329.36,1.2363,1.23957,1.37614,0.5329,0.44602,0.48585,0.31888,1.27058,1.18742,1.39501,0.007624,0.007624,0.007624
26,4501.22,1.22832,1.22205,1.37152,0.54414,0.44001,0.47835,0.32177,1.22463,1.16162,1.36763,0.007525,0.007525,0.007525
27,4673.24,1.22497,1.20217,1.36687,0.52731,0.44526,0.47989,0.31685,1.22338,1.13721,1.36463,0.007426,0.007426,0.007426
28,4845.09,1.20775,1.18046,1.35207,0.54357,0.44364,0.48043,0.32312,1.21568,1.12343,1.35026,0.007327,0.007327,0.007327
29,5017.36,1.2387,1.18209,1.36088,0.54526,0.45152,0.48005,0.32604,1.20066,1.14588,1.35164,0.007228,0.007228,0.007228
30,5189.3,1.19653,1.15568,1.35173,0.54247,0.44276,0.49571,0.3366,1.22247,1.14335,1.35164,0.007129,0.007129,0.007129
31,5361.65,1.22243,1.1709,1.36137,0.55792,0.45161,0.49737,0.34195,1.18178,1.11047,1.3282,0.00703,0.00703,0.00703
32,5533.62,1.21102,1.15162,1.34668,0.56814,0.44445,0.48745,0.33047,1.21164,1.11847,1.33358,0.006931,0.006931,0.006931
